apptName|apptDate|email|phone|apptType|itemName|amount|comments
Joe Shmo|1/31/2013|joeshmo@spiketv.com|800-774-5388|trade|Badge|1000|Official badge from t.v show
Rick Harrison|1/29/2013|rick@pawnstars.com|800-729-6872|sales|Rolex|10000|Could not agree on fair price.
Batman|2/28/2013|batman@batcave.com|800-228-6261|appraisal|Car|10000|Used Batmobile
Vincent Vega|2/14/2013|vvega@jrabbitslims.com|800-555-1234|delivery|Steak|25|Bloddy as hell
Tony Montana|2/18/2013|tony@sface.com|305-666-1983|purchase|Machine Gun|5000|Little Friend
Chuck Green|2/19/2013|cgreen@zombie.com|800-666-6666|sales|Zombrex|10000|Anti zombie medicine
Ratchet|3/30/2013|ratchet@insomniacgames.com|999-234-4321|delivery|Ryno|10000|Not enough bolts
Luke Skywalker|4/30/2013|luke@lastjedi.com|555-462-5334|delivery|Light Saber|5500|Replacement for lost one
Freddy Kruger|2/14/2013|freddy@yournightmare.com|800-752-7437|delivery|Custom Knife Glove|350|Needs aloe
Dr. Frankenferter|4/01/2013|dr.frank@rhps.com|800-647-6259|delivery|Candy Machine|8500|Research Time Warp
Mr. Rogers|2/12/2013|mrogers@neighbor.com|800-793-2837|purchase|Red Cardigan Sweater|78|Cool train set!
Peg Bundy|4/02/2013|peg@bighair.com|555-262-2627|sales|Pallet of Bon Bons|2800|Be on guard, very flirty! 
Donald Trump|4/28/2013|donald@trump.com|800-742-4626|sales|24kt Hair Piece|10000|Was not fired!
Cookie Monster|5/04/2013|cookies@sstreet.com|800-123-4567|trade|50lbs of cookies|155|Traded for 200 large yellow feathers
Hulk Hogan|5/05/2013|hulk@hulkster.com|800-276-8437|trade|Yellow Feather Boa|300|Traded for 500 signed bandanas
Willie Robinson|5/06/2013|willie@ducks.com|800-439-5225|trade|500 signed bandanas|800|Traded for 100 duck calls
Elmer Fudd|5/08/2013|efudd@wabbit.com|800-555-2263|trade|100 duck calls|1000|Traded for Viking Helmet
Mickey Blue Eyes|4/29/2013|mickeyb@auction.com|800-226-6537|appraisal|Painting|1000|Odd painting from Italian brother in law.
Clark Griswold|4/25/2013|clark@griswold.com|800-526-7666|appraisal|Family Truckster|500|Good for scrap metal.
Ferris Bueller|5/20/2013|ferris@dayoff.com|800-867-5309|purchase|Used Ferrari|9000|Stuck in reverse.





